SectionName,Question,Answer
"SECTION1,1 ,D"
"SECTION1,2 ,H"
"SECTION1,3 ,D"
"SECTION1,4 ,H"
"SECTION1,5 ,D"
"SECTION1,6 ,H"
"SECTION1,7 ,D"
"SECTION1,8 ,H"
"SECTION1,9 ,999"
"SECTION1,10 ,000"
"SECTION2,1 ,E"
"SECTION2,2 ,E"
"SECTION2,3 ,E"
"SECTION2,4 ,K"
"SECTION2,5 ,K"
"SECTION2,6 ,K"
"SECTION2,7 ,D"
"SECTION2,8 ,D"
"SECTION2,9 ,"
"SECTION2,10 ,"
"SECTION2,11 ,"
"SECTION2,12 ,"
"SECTION2,13 ,"
"SECTION2,14 ,"
"SECTION2,15 ,"
"SECTION2,16 ,"
"SECTION2,17 ,111"
"SECTION2,18 ,222"
"SECTION2,19 ,333"
"SECTION2,20 ,444"
