SectionName,Question,Answer
"SECTION1,1 ,B"
"SECTION1,2 ,G"
"SECTION1,3 ,B"
"SECTION1,4 ,F"
"SECTION1,5 ,C"
"SECTION1,6 ,G"
"SECTION1,7 ,D"
"SECTION1,8 ,D"
"SECTION1,9 ,35"
"SECTION1,10 ,1.5"
"SECTION2,1 ,A"
"SECTION2,2 ,"
"SECTION2,3 ,B"
"SECTION2,4 ,"
"SECTION2,5 ,"
"SECTION2,6 ,"
"SECTION2,7 ,"
"SECTION2,8 ,"
"SECTION2,9 ,"
"SECTION2,10 ,"
"SECTION2,11 ,"
"SECTION2,12 ,"
"SECTION2,13 ,"
"SECTION2,14 ,"
"SECTION2,15 ,"
"SECTION2,16 ,"
"SECTION2,17 ,35 and 1/2"
"SECTION2,18 ,3x"
"SECTION2,19 ,"
"SECTION2,20 ,"
