SectionName,Question,Answer
"SECTION1,1 ,D"
"SECTION1,2 ,H"
"SECTION1,3 ,"
"SECTION1,4 ,H"
"SECTION1,5 ,D"
"SECTION1,6 ,H"
"SECTION1,7 ,D"
"SECTION1,8 ,D"
"SECTION1,9 ,111"
"SECTION1,10 ,222"
"SECTION2,1 ,"
"SECTION2,2 ,"
"SECTION2,3 ,"
"SECTION2,4 ,"
"SECTION2,5 ,"
"SECTION2,6 ,"
"SECTION2,7 ,"
"SECTION2,8 ,C"
"SECTION2,9 ,B"
"SECTION2,10 ,B"
"SECTION2,11 ,"
"SECTION2,12 ,"
"SECTION2,13 ,"
"SECTION2,14 ,"
"SECTION2,15 ,"
"SECTION2,16 ,"
"SECTION2,17 ,3"
"SECTION2,18 ,4"
"SECTION2,19 ,5"
"SECTION2,20 ,6"
