SectionName,Question,Answer
"SECTION1,1 ,B"
"SECTION1,2 ,G"
"SECTION1,3 ,B"
"SECTION1,4 ,E"
"SECTION1,5 ,"
"SECTION1,6 ,"
"SECTION1,7 ,"
"SECTION1,8 ,"
"SECTION1,9 ,wqqe"
"SECTION1,10 ,qweqwe"
"SECTION2,1 ,B"
"SECTION2,2 ,"
"SECTION2,3 ,A"
"SECTION2,4 ,"
"SECTION2,5 ,B"
"SECTION2,6 ,B"
"SECTION2,7 ,C"
"SECTION2,8 ,D"
"SECTION2,9 ,D"
"SECTION2,10 ,B"
"SECTION2,11 ,A"
"SECTION2,12 ,A"
"SECTION2,13 ,"
"SECTION2,14 ,"
"SECTION2,15 ,"
"SECTION2,16 ,"
"SECTION2,17 ,dsf"
"SECTION2,18 ,sd"
"SECTION2,19 ,sdfsd"
"SECTION2,20 ,fsfsfs"
