"Section Name",Question,Answer
"SECTION1,1 ,E"
"SECTION1,2 ,K"
"SECTION1,3 ,E"
"SECTION1,4 ,K"
"SECTION1,5 ,"
"SECTION1,6 ,"
"SECTION1,7 ,"
"SECTION1,8 ,"
"SECTION1,9 ,999"
"SECTION1,10 ,111"
"SECTION2,1 ,"
"SECTION2,2 ,"
"SECTION2,3 ,"
"SECTION2,4 ,"
"SECTION2,5 ,"
"SECTION2,6 ,"
"SECTION2,7 ,"
"SECTION2,8 ,"
"SECTION2,9 ,"
"SECTION2,10 ,"
"SECTION2,11 ,"
"SECTION2,12 ,"
"SECTION2,13 ,"
"SECTION2,14 ,"
"SECTION2,15 ,"
"SECTION2,16 ,"
"SECTION2,17 ,"
"SECTION2,18 ,"
"SECTION2,19 ,"
"SECTION2,20 ,"
